Meses_contrato,Total,Factura_mensual,Contrato_mensual,Pago_chequera_electronica,Soporte_tecnico,Seguridad_online,Contrato_2_años,Factura_online,Contrato_1_año,Respaldo_online,Genero_Masculino,Renuncia,ID
49.0,900.9,20.45,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0048-PIHNL
66.0,7942.15,115.8,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0052-DCKON
67.0,1343.4,20.55,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0052-YNYOT
20.0,825.4,39.4,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0056-EPFBG
43.0,1070.15,25.1,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0057-QBUQH
55.0,4959.6,89.8,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0058-EVZWM
59.0,5597.65,94.75,1.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0060-FUALY
12.0,224.5,20.3,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0064-SUDOG
27.0,1929.0,75.75,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0064-YIJGF
2.0,91.1,49.25,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0067-DKWBL
27.0,2078.95,78.2,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0068-FIGTF
25.0,630.6,25.5,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0071-NDAFP
25.0,1611.0,61.6,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0074-HDKDG
29.0,1242.45,45.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0076-LVEPS
72.0,6316.2,85.15,0.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0078-XZMHT
14.0,727.85,51.45,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0080-EMYVY
35.0,3532.0,99.25,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0080-OROZO
1.0,44.3,44.3,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0082-LDZUE
29.0,2607.6,94.2,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0082-OQIQY
64.0,5567.55,81.25,0.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0083-PIVIK
39.0,3767.4,99.95,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0089-IIQKO
40.0,3673.6,91.55,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0093-EXYQL
40.0,4036.85,104.5,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,0093-XWZFY
11.0,1120.3,95.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0094-OIFMO
6.0,314.55,50.35,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0096-BXERS
30.0,1888.45,64.5,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0096-FCPUF
27.0,529.8,19.4,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0098-BOWSO
70.0,7308.95,104.8,0.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0100-DUVFC
57.0,6252.7,109.4,0.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0103-CSITQ
58.0,2878.55,50.3,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0104-PPXDV
16.0,1212.1,71.4,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0106-GHRQR
69.0,8182.85,116.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0106-UGRDO
1.0,19.85,19.85,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0107-WESLM
1.0,99.75,99.75,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0107-YHINA
32.0,2861.45,93.95,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0111-KLBQG
16.0,1442.2,90.8,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0112-QAWRZ
49.0,4059.35,84.35,0.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0112-QWPNC
71.0,4145.9,58.25,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0114-IGABW
33.0,3645.5,107.55,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0114-PEGZZ
10.0,187.75,19.95,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0114-RSRRW
21.0,2317.1,111.2,1.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,0115-TFERT
37.0,1448.8,40.2,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0117-LFRMW
26.0,2193.65,85.8,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0118-JPNOY
71.0,1355.1,19.9,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0120-YZLQA
50.0,1748.9,35.4,0.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0121-SNYRK
7.0,511.25,73.85,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0122-OAHPZ
61.0,5526.75,88.1,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0123-CRBRT
15.0,1553.95,101.35,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0125-LZQXK
26.0,1147.0,45.8,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0128-MKWSG
72.0,6747.35,94.65,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0129-KPTWJ
44.0,865.05,20.5,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0129-QMPDR
66.0,5976.9,89.4,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0130-SXOUN
2.0,181.65,86.25,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0133-BMFZO
44.0,3268.05,74.85,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0134-XWXCE
12.0,1052.4,89.75,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0135-NMXAP
69.0,7634.25,109.95,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0136-IFMYD
1.0,80.2,80.2,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0137-OCGAB
3.0,63.75,19.85,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0137-UDEUO
2.0,190.5,90.35,1.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0139-IVFJG
27.0,2401.05,86.45,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0141-YEAYS
26.0,511.25,20.3,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0142-GVYSN
39.0,3949.15,101.25,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0147-ESWWR
25.0,2362.1,94.7,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0148-DCDOS
1.0,70.9,70.9,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0151-ONTOV
29.0,1696.2,58.75,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0154-QYHJU
22.0,1152.7,54.2,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0156-FVPTA
5.0,287.85,59.9,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0162-RZGMZ
72.0,8496.7,114.9,0.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0164-APGRB
24.0,470.2,19.55,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0164-XAIRP
19.0,1564.4,86.85,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0168-XZKBB
71.0,1847.55,25.35,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0174-QRVVY
33.0,3694.7,109.9,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0177-PXBAT
3.0,58.0,19.95,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0178-CIIKR
47.0,4017.45,87.2,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0178-SZBHO
62.0,6825.65,108.15,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0181-RITDD
71.0,8309.55,116.3,0.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0186-CAERR
7.0,605.45,89.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0187-QSXOE
27.0,1972.35,74.4,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0187-WZNAB
2.0,33.7,20.05,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0188-GWFLE
25.0,844.45,35.05,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0191-EQUUH
30.0,2111.3,74.75,1.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0191-ZHSKZ
58.0,6205.5,105.5,0.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,0193-ESZXP
10.0,855.3,85.25,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0195-IESCP
9.0,633.85,75.2,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0196-JTUQI
6.0,474.9,84.35,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0196-VULGZ
69.0,5848.6,84.45,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0197-PNKNK
66.0,6471.85,102.4,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0201-MIBOL
70.0,8127.6,115.55,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,0201-OAMXR
25.0,676.35,25.3,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0203-HHYIJ
46.0,864.2,19.25,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0206-OYVOC
54.0,6049.5,114.65,0.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0206-TBWLC
15.0,1582.75,105.1,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0207-MDKNV
12.0,198.1,19.4,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0208-BPQEJ
22.0,1098.85,50.35,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0212-ISBBF
70.0,4039.3,57.8,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0214-JHPFW
30.0,2438.6,84.3,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0215-BQKGS
71.0,7113.75,100.55,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0218-QNVAS
30.0,576.65,19.8,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0219-QAERP
4.0,371.9,84.8,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,0219-YTZUE
2.0,167.3,85.85,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0220-EBGCE
10.0,219.5,19.95,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0221-NAUXK
4.0,273.4,75.35,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0221-WMXNQ
52.0,2555.05,48.8,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0222-CNVPT
5.0,223.15,47.15,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0224-HJAPT
8.0,165.5,20.15,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0224-NIJLP
2.0,89.3,44.3,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0224-RLWWD
3.0,235.05,84.3,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0225-ZORZP
19.0,1144.6,59.55,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0228-MAUWC
72.0,4908.25,69.65,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0229-LFJAF
63.0,2298.9,36.1,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0230-UBYPQ
66.0,3789.2,56.6,0.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0230-WEQUW
1.0,75.9,75.9,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0231-LXVAP
60.0,4765.0,79.2,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0233-FTHAV
48.0,2196.3,45.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0234-TEVTT
1.0,85.55,85.55,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0235-KGSLC
15.0,1444.65,93.35,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0236-HFWSV
50.0,5405.8,109.65,1.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0237-YFUTL
72.0,6339.3,89.7,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0238-WHBIQ
46.0,3847.6,84.25,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0239-OXEXL
72.0,6733.0,92.65,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0244-LGNFY
1.0,19.7,19.7,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0247-SLUJI
1.0,50.1,50.1,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0248-IPDFW
67.0,6140.85,92.45,0.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0248-PGHBZ
48.0,3870.3,79.65,0.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0253-ZTEOB
72.0,7624.2,109.9,0.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0254-FNMCI
52.0,4354.45,81.4,0.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0254-KCJGT
67.0,3431.75,50.55,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0254-WWRKD
28.0,2227.1,81.05,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0256-LTHVJ
32.0,2045.55,62.45,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0257-KXZGU
27.0,1929.35,75.2,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0257-ZESQC
3.0,268.45,90.4,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0258-NOKBL
2.0,181.5,85.65,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0259-GBZSH
9.0,651.4,72.9,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0260-ZDLGK
50.0,3486.65,70.5,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0263-FJTQO
71.0,1389.6,20.1,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0264-CNITK
32.0,2303.35,74.9,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0265-EDXBD
16.0,1522.7,100.7,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0265-PSUAE
67.0,6717.9,105.65,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0266-CLZKZ
72.0,8058.55,114.3,0.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0266-GMEAO
3.0,58.85,19.75,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0268-QKIWO
23.0,538.5,24.35,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0269-XFESX
72.0,5102.35,69.85,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0270-THENM
7.0,465.7,58.85,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0274-JKUJR
65.0,6792.45,103.15,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0274-VVQOQ
8.0,475.1,54.4,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0277-BKSQP
66.0,3364.55,50.55,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0277-ORXQS
5.0,113.85,21.05,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0278-YXOOG
49.0,5036.3,103.7,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,0280-XJGEX
63.0,1234.8,19.95,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0281-CNTZX
12.0,355.9,29.3,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0282-NVSJS
27.0,1510.3,54.75,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0285-INHLN
35.0,1982.6,60.55,1.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0289-IVARM
54.0,4524.05,86.2,1.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0292-WEGCH
1.0,95.45,95.45,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0295-PPHDO
5.0,318.1,63.95,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0295-QVKPB
19.0,1231.85,65.35,0.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0297-RBCSG
52.0,2554.0,50.2,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0298-XACET
72.0,4684.3,63.8,0.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0301-FIDRB
32.0,614.45,20.05,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0301-KOBTQ
8.0,842.9,101.15,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0302-JOIVN
41.0,2531.8,65.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0303-UNCIP
5.0,86.05,19.25,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0303-WMMRN
11.0,402.6,36.05,0.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0305-SQECB
5.0,453.4,96.1,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0306-JAELE
16.0,326.65,19.05,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0307-BCOPK
71.0,7382.85,105.75,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0308-GIQJT
11.0,422.6,40.4,0.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0308-IVGOK
61.0,6010.05,99.15,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0310-MVLET
71.0,6046.1,84.8,0.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0310-SUCIN
9.0,178.8,19.85,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0310-VQXAM
6.0,314.6,49.45,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0311-QYWSS
26.0,2274.35,88.8,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0311-UNPFF
6.0,322.9,55.15,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0314-TKOSI
11.0,888.75,84.8,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0315-LVCRK
1.0,80.55,80.55,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0318-QUUOB
49.0,973.35,20.15,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0318-ZOPWS
3.0,168.6,58.7,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0319-QZTCO
53.0,5424.25,99.5,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0320-DWVTU
23.0,2331.3,99.85,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0320-JDNQG
2.0,89.5,45.35,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0322-CHQRU
1.0,48.55,48.55,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0322-YINQP
3.0,121.25,26.4,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0323-XWWTN
68.0,6851.65,100.2,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0324-BRPCJ
8.0,740.3,94.7,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0325-XBFAC
70.0,6982.5,97.65,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0326-VDYXE
39.0,3835.55,100.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0327-WFZSY
1.0,70.1,70.1,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0328-GRPMV
51.0,1782.0,34.2,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0328-IBUPK
3.0,315.3,97.9,1.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0329-GTIAJ
60.0,6157.6,102.5,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0330-BGYZE
5.0,330.15,69.95,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0330-IVZHA
